pc_datetime,elapsed_ms,sample_number,record_type,raw,dc,ac_plot,env_plot,thr_pos_plot,thr_neg_plot,rearm_plot,ac_real,env_real,threshold_real,threshold_negative_real,rearm_real,serial_line
2026-08-24T18:26:08.043,1,1,PLOTTER,2316.0,1557.0,2814.9,2895.8,2344.7,1751.3,2044.0,766.9000000000001,847.8000000000002,296.6999999999998,-296.70000000000005,-4.0,"RAW:2316,DC:1557.0,AC:2814.9,ENV:2895.8,THR_POS:2344.7,THR_NEG:1751.3,REARM:2044.0"
2026-08-24T18:26:08.044,2,2,PLOTTER,2316.0,1560.8,2812.0,2892.8,2343.7,1752.3,2044.0,764.0,844.8000000000002,295.6999999999998,-295.70000000000005,-4.0,"RAW:2316,DC:1560.8,AC:2812.0,ENV:2892.8,THR_POS:2343.7,THR_NEG:1752.3,REARM:2044.0"
2026-08-24T18:26:08.093,51,3,PLOTTER,2316.0,1564.6,2808.9,2889.9,2342.7,1753.3,2044.0,760.9000000000001,841.9000000000001,294.6999999999998,-294.70000000000005,-4.0,"RAW:2316,DC:1564.6,AC:2808.9,ENV:2889.9,THR_POS:2342.7,THR_NEG:1753.3,REARM:2044.0"
2026-08-24T18:26:08.094,52,4,PLOTTER,2316.0,1568.3,2805.6,2887.0,2341.6,1754.4,2044.0,757.5999999999999,839.0,293.5999999999999,-293.5999999999999,-4.0,"RAW:2316,DC:1568.3,AC:2805.6,ENV:2887.0,THR_POS:2341.6,THR_NEG:1754.4,REARM:2044.0"
2026-08-24T18:26:08.095,53,5,PLOTTER,2315.0,1572.1,2801.9,2884.0,2340.6,1755.4,2044.0,753.9000000000001,836.0,292.5999999999999,-292.5999999999999,-4.0,"RAW:2315,DC:1572.1,AC:2801.9,ENV:2884.0,THR_POS:2340.6,THR_NEG:1755.4,REARM:2044.0"
2026-08-24T18:26:08.096,54,6,PLOTTER,2313.0,1575.8,2797.7,2881.0,2339.5,1756.5,2044.0,749.6999999999998,833.0,291.5,-291.5,-4.0,"RAW:2313,DC:1575.8,AC:2797.7,ENV:2881.0,THR_POS:2339.5,THR_NEG:1756.5,REARM:2044.0"
2026-08-24T18:26:08.097,55,7,PLOTTER,2300.0,1579.4,2790.5,2877.8,2338.4,1757.6,2044.0,742.5,829.8000000000002,290.4000000000001,-290.4000000000001,-4.0,"RAW:2300,DC:1579.4,AC:2790.5,ENV:2877.8,THR_POS:2338.4,THR_NEG:1757.6,REARM:2044.0"
2026-08-24T18:26:08.097,55,8,PLOTTER,2296.0,1583.0,2783.1,2874.5,2337.3,1758.7,2044.0,735.0999999999999,826.5,289.3000000000002,-289.29999999999995,-4.0,"RAW:2296,DC:1583.0,AC:2783.1,ENV:2874.5,THR_POS:2337.3,THR_NEG:1758.7,REARM:2044.0"
2026-08-24T18:26:08.098,56,9,PLOTTER,2287.0,1586.5,2774.5,2871.0,2336.0,1760.0,2044.0,726.5,823.0,288.0,-288.0,-4.0,"RAW:2287,DC:1586.5,AC:2774.5,ENV:2871.0,THR_POS:2336.0,THR_NEG:1760.0,REARM:2044.0"
2026-08-24T18:26:08.105,63,10,PLOTTER,2284.0,1590.0,2766.3,2867.3,2334.8,1761.2,2043.9,718.3000000000002,819.3000000000002,286.8000000000002,-286.79999999999995,-4.099999999999909,"RAW:2284,DC:1590.0,AC:2766.3,ENV:2867.3,THR_POS:2334.8,THR_NEG:1761.2,REARM:2043.9"
