pc_datetime,elapsed_ms,record_type,ibi_bpm,ibi_quality,ibi_relation,corr_bpm,corr_quality,corr_strength,corr_relation,spectral_bpm,spectral_raw_bpm,spectral_quality,spectral_dominance,second_harmonic_ratio,spectral_relation,fused_bpm,fusion_confidence,methods_agree,fusion_valid,harmonic_suspect,harmonic_resolved,fusion_score,hybrid_samples,analysis_cpu_us,analysis_max_cpu_us,slice_us,slice_max_us,cycle_elapsed_ms,sample_gap_max_ms,serial_line
2026-08-25T00:52:14.319,4,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=NO_CONTACT contact=NO motion=NO raw=2231 dc=2229.8 ac=-23.4 ppg=-29.7 env=30.6 noise=4.4 snr=6.24 bpmIBI=0 fused=0 valid=NO
2026-08-25T00:52:14.819,505,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=ACQUIRING contact=YES motion=NO raw=2255 dc=2232.3 ac=+7.1 ppg=-11.7 env=31.5 noise=5.8 snr=5.03 bpmIBI=0 fused=0 valid=NO
2026-08-25T00:52:15.319,1004,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=ACQUIRING contact=YES motion=NO raw=2235 dc=2237.7 ac=+16.9 ppg=+12.4 env=33.1 noise=4.1 snr=7.17 bpmIBI=0 fused=0 valid=NO
2026-08-25T00:52:15.819,1505,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=ACQUIRING contact=YES motion=NO raw=2328 dc=2237.5 ac=+57.4 ppg=+21.4 env=18.8 noise=5.3 snr=3.22 bpmIBI=0 fused=0 valid=NO
2026-08-25T00:52:15.918,1603,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #1 state=ACQUIRING bpmIBI=0 ibi=0 accepted=NO peak=91.1 prom=113.4
2026-08-25T00:52:16.248,1934,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #2 state=ACQUIRING bpmIBI=0 ibi=320 accepted=NO peak=15.2 prom=21.7
2026-08-25T00:52:16.318,2004,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=ACQUIRING contact=YES motion=NO raw=2232 dc=2242.9 ac=-6.9 ppg=-14.2 env=17.1 noise=2.5 snr=5.71 bpmIBI=0 fused=0 valid=NO
2026-08-25T00:52:16.627,2313,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #3 state=ACQUIRING bpmIBI=0 ibi=380 accepted=NO peak=87.1 prom=105.6
2026-08-25T00:52:16.820,2506,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=ACQUIRING contact=YES motion=NO raw=2253 dc=2247.9 ac=-8.3 ppg=-29.4 env=28.7 noise=4.3 snr=6.00 bpmIBI=0 fused=0 valid=NO
2026-08-25T00:52:17.319,3005,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=ACQUIRING contact=YES motion=NO raw=2332 dc=2251.0 ac=+86.7 ppg=+60.2 env=33.6 noise=4.7 snr=6.50 bpmIBI=0 fused=0 valid=NO
2026-08-25T00:52:17.338,3024,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #4 state=ACQUIRING bpmIBI=0 ibi=731 accepted=NO peak=88.6 prom=113.4
2026-08-25T00:52:17.820,3505,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=ACQUIRING contact=YES motion=NO raw=2216 dc=2249.0 ac=-27.5 ppg=-20.4 env=20.0 noise=2.5 snr=6.60 bpmIBI=0 fused=0 valid=NO
2026-08-25T00:52:18.038,3724,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[PULSE] #5 state=ACQUIRING bpmIBI=0 ibi=690 accepted=NO peak=63.1 prom=93.0
2026-08-25T00:52:18.320,4005,RAW_LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,[SIGNAL] state=ACQUIRING contact=YES motion=NO raw=2236 dc=2249.0 ac=-18.4 ppg=-19.0 env=29.6 noise=3.3 snr=7.74 bpmIBI=0 fused=0 valid=NO
