ts_ms,red,ir,red_f,ir_f,thr,quality,pi,corr,gain,gain_dev,optical_ok,state,quiet_ok,motion,candidate,beat,ibi_ms,polarity,temporal_conf,morph_conf,min_temporal,min_morph,reject,recovered_n,hr,hr_valid,hr_provisional,hr_held,hr_provisional_bpm,ref_ibi_ms,red_range_pct,ir_range_pct,R,SpO2,usable,stableN,adc,redPA,irPA,adj
96569,55164,72463,-208.46,-279.97,309.06,90.8,0.0407,0.957,0.616,0.021,1,3,1,0,0,0,0,1,81.9,95.8,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.138,0.195,0.6075,94.9,1,4782,0,15,15,0
96589,55145,72473,-178.52,-230.46,309.06,90.6,0.0405,0.957,0.616,0.021,1,3,1,0,0,0,0,1,81.9,95.8,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.132,0.195,0.6077,94.9,1,4783,0,15,15,0
96609,55141,72441,-152.92,-181.10,309.06,90.4,0.0403,0.956,0.616,0.020,1,3,1,0,0,0,0,1,81.9,95.8,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.132,0.195,0.6083,94.9,1,4784,0,15,15,0
96629,55152,72451,-132.78,-156.85,309.06,90.1,0.0400,0.955,0.616,0.019,1,3,1,0,0,0,0,1,81.9,95.8,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.125,0.195,0.6096,94.9,1,4785,0,15,15,0
96649,55155,72461,-104.86,-147.29,309.06,89.8,0.0397,0.955,0.614,0.018,1,3,1,0,0,0,0,1,81.9,95.7,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.125,0.195,0.6111,94.8,1,4786,0,15,15,0
96669,55141,72471,-78.26,-131.88,309.06,89.6,0.0394,0.954,0.612,0.017,1,3,1,0,0,0,0,1,81.9,95.7,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.125,0.195,0.6121,94.8,1,4787,0,15,15,0
96689,55135,72483,-77.21,-103.28,309.06,89.4,0.0392,0.954,0.609,0.016,1,3,1,0,0,0,0,1,81.9,95.7,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.125,0.195,0.6133,94.8,1,4788,0,15,15,0
96709,55141,72470,-87.23,-74.93,309.06,89.2,0.0390,0.953,0.606,0.015,1,3,1,0,0,0,0,1,81.9,95.7,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.125,0.195,0.6147,94.8,1,4789,0,15,15,0
96729,55164,72488,-100.71,-35.50,309.06,89.0,0.0387,0.953,0.603,0.014,1,3,1,0,0,0,0,1,81.9,95.7,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.125,0.202,0.6161,94.7,1,4790,0,15,15,0
96749,55158,72503,-82.20,7.65,309.06,88.8,0.0385,0.953,0.601,0.013,1,3,1,0,0,0,0,1,81.9,95.7,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.123,0.166,0.6180,94.7,1,4791,0,15,15,0
96769,55157,72515,-53.92,64.72,309.06,88.7,0.0384,0.953,0.599,0.013,1,3,1,0,0,0,0,1,81.9,95.7,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.123,0.166,0.6197,94.6,1,4792,0,15,15,0
96789,55193,72511,-26.61,127.28,309.06,88.6,0.0383,0.953,0.596,0.012,1,3,1,0,0,0,0,1,81.9,95.7,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.147,0.166,0.6206,94.6,1,4793,0,15,15,0
96809,55160,72563,-1.05,184.76,309.06,88.6,0.0382,0.953,0.594,0.012,1,3,1,0,0,0,0,1,81.9,95.7,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.147,0.232,0.6206,94.6,1,4794,0,15,15,0
96829,55166,72529,29.91,247.23,309.06,88.6,0.0383,0.954,0.591,0.012,1,3,1,0,0,0,0,1,81.9,95.8,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.136,0.232,0.6200,94.6,1,4795,0,15,15,0
96849,55177,72526,56.90,297.50,309.06,88.7,0.0383,0.954,0.589,0.013,1,3,1,0,0,0,0,1,81.9,95.8,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.136,0.232,0.6188,94.6,1,4796,0,15,15,0
96869,55163,72513,76.40,325.63,309.06,88.8,0.0384,0.955,0.587,0.013,1,3,1,0,0,0,0,1,81.9,95.8,65.0,45.0,0,1,83.3,1,0,0,0.0,720,0.136,0.232,0.6173,94.6,1,4797,0,15,15,0
96889,55198,72505,108.40,316.38,309.06,88.8,0.0385,0.955,0.586,0.013,1,3,1,0,1,1,740,1,83.7,95.8,65.0,45.0,0,2,82.9,1,0,0,0.0,740,0.145,0.232,0.6162,94.6,1,4798,0,15,15,0
96909,55159,72501,112.25,276.25,309.06,88.9,0.0386,0.955,0.586,0.013,1,3,1,0,0,0,0,1,83.7,95.8,65.0,45.0,0,1,82.9,1,0,0,0.0,740,0.145,0.232,0.6156,94.6,1,4799,0,15,15,0
96929,55156,72464,94.21,218.52,309.06,88.9,0.0386,0.955,0.586,0.014,1,3,1,0,0,0,0,1,83.7,95.8,65.0,45.0,0,1,82.9,1,0,0,0.0,740,0.145,0.232,0.6153,94.6,1,4800,0,15,15,0
96949,55170,72480,67.71,127.67,309.06,88.9,0.0386,0.955,0.586,0.014,1,3,1,0,0,0,0,1,83.7,95.8,65.0,45.0,0,1,82.9,1,0,0,0.0,740,0.145,0.232,0.6157,94.6,1,4801,0,15,15,0
96969,55160,72480,41.57,32.95,309.06,88.9,0.0386,0.955,0.586,0.014,1,3,1,0,0,0,0,1,83.7,95.7,65.0,45.0,0,1,82.9,1,0,0,0.0,740,0.145,0.232,0.6164,94.6,1,4802,0,15,15,0
96989,55154,72474,17.72,-52.22,309.06,88.9,0.0386,0.954,0.586,0.014,1,3,1,0,0,0,0,1,83.7,95.7,65.0,45.0,0,1,82.9,1,0,0,0.0,740,0.145,0.232,0.6173,94.6,1,4803,0,15,15,0
97009,55140,72474,-14.34,-131.48,309.06,88.8,0.0386,0.952,0.584,0.014,1,3,1,0,0,0,0,1,83.7,95.7,65.0,45.0,0,1,82.9,1,0,0,0.0,740,0.145,0.232,0.6182,94.6,1,4804,0,15,15,0
97029,55146,72478,-61.06,-197.89,309.06,88.8,0.0386,0.951,0.583,0.014,1,3,1,0,0,0,0,1,83.7,95.7,65.0,45.0,0,1,82.9,1,0,0,0.0,740,0.145,0.232,0.6190,94.6,1,4805,0,15,15,0
97049,55144,72478,-111.23,-244.18,309.06,88.8,0.0387,0.950,0.581,0.014,1,3,1,0,0,0,0,1,83.7,95.7,65.0,45.0,0,1,82.9,1,0,0,0.0,740,0.145,0.232,0.6196,94.6,1,4806,0,15,15,0
97069,55152,72462,-151.81,-275.57,309.06,88.9,0.0388,0.950,0.580,0.015,1,3,1,0,0,0,0,1,83.7,95.7,65.0,45.0,0,1,82.9,1,0,0,0.0,740,0.145,0.232,0.6202,94.5,1,4807,0,15,15,0
97089,55145,72467,-184.10,-311.64,309.06,89.0,0.0389,0.950,0.578,0.015,1,3,1,0,0,0,0,1,83.7,95.7,65.0,45.0,0,1,82.9,1,0,0,0.0,740,0.145,0.232,0.6206,94.5,1,4808,0,15,15,0
97109,55167,72488,-194.63,-343.65,309.06,89.1,0.0390,0.950,0.576,0.015,1,3,1,0,0,0,0,1,83.7,95.7,65.0,45.0,0,1,82.9,1,0,0,0.0,740,0.145,0.232,0.6208,94.5,1,4809,0,15,15,0
